,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
12695,157,Richmond,0.4660500519598637,0.006447698346597775,2,0.6625357483317446,0.5849056603773585,0.5596330275229358
12696,157,SalmonGums,1.0,0.19362150403101006,2,0.678030303030303,0.6195028680688337,0.4268292682926829
12697,157,PearceRAAF,1.0,2.6716591264508185e-08,2,0.6412749864937871,0.5918367346938775,0.7934782608695652
12698,157,BadgerysCreek,1.0,0.04525373752441437,2,0.5833743236596163,0.519927536231884,0.616822429906542
12699,157,WaggaWagga,1.0,0.05458410759709603,2,0.6308630393996247,0.5906642728904847,0.4909090909090909
12700,157,PerthAirport,1.0,4.9645717991209104e-08,2,0.6467661691542289,0.6296992481203008,0.6938775510204082
12701,157,Moree,1.0,0.013346105305294138,2,0.8361611876988335,0.8087431693989071,0.20833333333333334
12702,157,Nuriootpa,1.0,1.4523015864148965e-08,2,0.6391465677179963,0.6191304347826087,0.6974789915966386
12703,157,Nhil,0.12170578183942142,0.0011742758239161465,2,0.6694214876033058,0.6541095890410958,0.5918367346938775
12704,158,Canberra,1.0,0.005979496652104451,2,0.6690590111642744,0.6311605723370429,0.4672131147540984
12705,158,Perth,1.0,1.671407371472395e-08,2,0.6399317406143344,0.5951972555746141,0.7524752475247525
12706,158,Adelaide,1.0,3.8824377070983733e-07,2,0.6260674157303371,0.5945945945945946,0.7130434782608696
12707,158,Albury,1.0,0.0005650011889691913,2,0.5904328018223235,0.5803402646502835,0.6153846153846154
12708,158,Bendigo,1.0,0.0005376807566158789,2,0.6447249774571686,0.6051660516605166,0.580952380952381
12709,158,Penrith,1.0,0.04703288011137619,2,0.664946034725481,0.606,0.4636363636363636
12710,158,Tuggeranong,1.0,0.010825290739309632,2,0.6902695294655093,0.62,0.4857142857142857
12711,158,Richmond,1.0,0.000537888332960817,2,0.6820143884892086,0.634862385321101,0.5288461538461539
12712,158,SalmonGums,1.0,0.1666767239716177,2,0.6347534705600766,0.6098901098901099,0.463768115942029
12713,158,PearceRAAF,1.0,1.8357902080063579e-09,2,0.6506357103372029,0.629399585921325,0.7425742574257426
12714,158,BadgerysCreek,1.0,0.004308989574625699,2,0.6674757281553398,0.6221374045801527,0.49557522123893805
12715,158,WaggaWagga,1.0,0.025773742143052444,2,0.6481223922114048,0.6033834586466166,0.5052631578947369
12716,158,PerthAirport,0.42429520531738185,2.3690703197832433e-09,2,0.6465753424657534,0.6238698010849909,0.7307692307692307
12717,158,Moree,1.0,0.1483716969204431,2,0.8572178477690289,0.8075471698113208,0.15492957746478872
12718,158,Nuriootpa,0.44348546104532516,8.118793081204889e-05,2,0.6735632183908046,0.6133093525179856,0.5963302752293578
12719,158,Nhil,1.0,0.006623144182948006,2,0.6748188405797102,0.6353790613718412,0.6
12720,159,Canberra,1.0,0.0028793371017650114,2,0.6723862729449321,0.6206349206349207,0.5135135135135135
12721,159,Perth,1.0,3.1083946979459175e-09,2,0.6356655290102389,0.5951972555746141,0.7755102040816326
12722,159,Adelaide,1.0,3.5908803153973465e-08,2,0.6205657835653345,0.5949612403100775,0.75
